     10650|D | |         0|0    |C    |     |     |     |     |     |(C)()()()()()                             |1971|         0|       0.00|       0.00|         0|         0|             0.00| **********|A295000             |04                  |D                   |                    |                    |                    |                    |    3| |     |   | **********| **********|    0| |    0|    0|    0|    0|    0|    0|    0|    0|             0.00|             0.00|         0|    0|3   | | | |    0|    0|    0|    0|    0|    0|    0|    0|         0|         0|    0|    0|    0|    0|    0|    0|    0|    0|         0|    | **********| | | |             0.00|             0.00|             0.00|             0.00|             0.00|             0.00| **********|             0.00| **********| **********| **********| **********|             0.00|             0.00|             0.00|             0.00| **********
     10651|E | |         0|0    |C    |     |     |     |     |     |(C)()()()()()                             |1971|         0|       0.00|       0.00|         0|         0|             0.00| **********|A295000             |04                  |E                   |                    |                    |                    |                    |    3| |     |   | **********| **********|    1| |    0|    0|    0|    0|    0|    0|    0|    0|             0.00|             0.00|         0|    1|4   | | | |    0|    0|    0|    0|    0|    0|    0|    0|         0|         0|    0|    0|    0|    0|    0|    0|    0|    0|         0|    | **********| | | |             0.00|             0.00|             0.00|             0.00|             0.00|             0.00| **********|             0.00| **********| **********| **********| **********|             0.00|             0.00|             0.00|             0.00| **********
     10652|F | |         0|0    |U    |     |     |     |     |     |(U)()()()()                               |1971|         0|       0.00|       0.00|         0|         0|             0.00| **********|A295000             |01                  |F                   |                    |                    |                    |                    |    3| |     |   | **********| **********|    1| |    0|    0|    0|    0|    0|    0|    0|    0|             0.00|             0.00|         0|    1|5   | | | |    0|    0|    0|    0|    0|    0|    0|    0|         0|         0|    0|    0|    0|    0|    0|    0|    0|    0|         0|    | **********| | | |             0.00|             0.00|             0.00|             0.00|             0.00|             0.00| **********|             0.00| **********| **********| **********| **********|             0.00|             0.00|             0.00|             0.00| **********
     10647|A | |         0|0    |C    |M    |N    |     |     |     |(C)(M)(N)()()                             |1971|         0|       0.00|       0.00|         0|         0|             0.00| **********|A295000             |01                  |A                   |                    |                    |                    |                    |    3| |     |   | **********| **********|    1| |    0|    0|    0|    0|    0|    0|    0|    0|             0.00|             0.00|         0|    1|3   | | | |    0|    0|    0|    0|    0|    0|    0|    0|         0|         0|    0|    0|    0|    0|    0|    0|    0|    0|         0|    | **********| | | |             0.00|             0.00|             0.00|             0.00|             0.00|             0.00| **********|             0.00| **********| **********| **********| **********|             0.00|             0.00|             0.00|             0.00| **********
       183|B2| |         0|     |N    |     |     |     |     |     |(N)                                       |1971|         0|       0.00|       0.00|         0|         0|             0.00| **********|A295000             |06                  |B2                  |                    |                    |                    |                    |    3| |     | | **********| **********|    2| |    0|    0|    0|    0|    0|    0|    0|    0|             0.00|             0.00|         0|    2|5   | | | |    0|    0|    0|    0|    0|    0|    0|    0|         0|         0|    0|    0|    0|    0|    0|    0|    0|    0|         0|    | **********| | | |             0.00|             0.00|             0.00|             0.00|             0.00|             0.00| **********|             0.00| **********| **********| **********| **********|             0.00|             0.00|             0.00|             0.00| **********
     10649|C | |         0|0    |M    |C    |N    |     |     |     |(M)(C)(N)()()                             |1971|         0|       0.00|       0.00|         0|         0|             0.00| **********|A295000             |04                  |C                   |                    |                    |                    |                    |    3| |     |   | **********| **********|    1| |    0|    0|    0|    0|    0|    0|    0|    0|             0.00|             0.00|         0|    1|3   | | | |    0|    0|    0|    0|    0|    0|    0|    0|         0|         0|    0|    0|    0|    0|    0|    0|    0|    0|         0|    | **********| | | |             0.00|             0.00|             0.00|             0.00|             0.00|             0.00| **********|             0.00| **********| **********| **********| **********|             0.00|             0.00|             0.00|             0.00| **********
     10640|L | |         0|99999|B    |C    |R    |     |     |     |(B)(C)(R)()()                             |1965|         0|       0.00|       0.00|         0|       996|           996.00| **********|A290000             |03                  |L                   |                    |                    |                    |                    |    3| |     |   | **********| **********|    1|V|    0|  537|    0|    0|    0|    0|    0|    0|             0.00|             0.00|         0|    1|3   |V| | |    0|   20|    0|    0|    0|    0|    0|    0|         0|         0|    0|    0|    0|    0|    0|    0|    0|    0|         0|    | **********| | | |             0.00|             0.00|             0.00|             0.00|             0.00|             0.00| **********|             0.00| **********| **********| **********| **********|             0.00|             0.00|             0.00|             0.00| **********
     10641|M | |         0|99999|C    |     |     |     |     |     |(C)()()()()                               |    |         0|       0.00|       0.00|         0|       156|           156.00| **********|A290000             |03                  |M                   |                    |                    |                    |                    |    3| |     |   | **********| **********|    1|V|    0|  141|    0|    0|    0|    0|    0|    0|             0.00|             0.00|         0|    1|7   |V| |D|    0|    3|    0|    0|    0|    0|    0|    0|         0|         0|    0|    0|    0|    0|    0|    0|    0|    0|         0|    | **********| | | |             0.00|             0.00|             0.00|             0.00|             0.00|             0.00| **********|             0.00| **********| **********| **********| **********|             0.00|             0.00|             0.00|             0.00| **********
     10642|A | |         0|99999|M    |     |     |     |     |     |(M)()()()()                               |1968|         0|       0.00|       0.00|         0|       679|           679.00| **********|A291000             |01                  |A                   |                    |                    |                    |                    |    3| |     |   | **********| **********|    3| |    0|  425|  291|  307|   54|    0|    0|    0|             0.00|             0.00|         0|    3|2   | | | |    0|   24|   20|   21|    4|    0|    0|    0|         0|         0|    0|    0|    0|    0|    0|    0|    0|    0|         0|    | **********| | | |             0.00|             0.00|             0.00|             0.00|             0.00|             0.00| **********|             0.00| **********| **********| **********| **********|             0.00|             0.00|             0.00|             0.00| **********
     10643|A | |         0|99999|B    |     |     |     |     |     |(B)()()()()()                             |1965|         0|       0.00|       0.00|         0|      2719|          2582.00| **********|A294000             |01                  |A                   |                    |                    |                    |                    |    3| |     |   | **********| **********|    1|V|    0| 2165|    0|    0|    0|    0|    0|    0|             0.00|             0.00|         0|    1|5   |V| | |    0|   47|    0|    0|    0|    0|    0|    0|         0|         0|    0|    0|    0|    0|    0|    0|    0|    0|         0|    | **********| | | |             0.00|             0.00|             0.00|             0.00|             0.00|             0.00| **********|             0.00| **********| **********| **********| **********|             0.00|             0.00|             0.00|             0.00| **********
