10,22602054,
100,22600302,
1000,22602576,
1005,22600781,
1010,22602469,
1015,22602616,
1020,22603199,
1030,22600797,
1035,22600797,
1040,22600797,
1050,22602474,
1060,,5870082924
1070,22602475,
1080,22600836,
1085,22600842,
1090,22600846,
110,,5870044905
1100,22600849,
1110,22602502,
1120,,5870047764
1130,,5870100508
1140,22601767,
115,,5870108916
1150,22600870,
1160,22600876,
1180,22605913,
1190,22602539,
120,22602103,
1200,22600892,
1210,22600893,
1220,22602541,
1230,22600899,
1240,22605163,
125,22605622,
1250,22603260,
1260,22602559,
1265,22602559,
1270,22602563,
1280,22600937,
1290,22600940,
130,22602110,
1300,22602567,
1310,22604358,
1320,22605576,
1325,,5870054650
1330,22600948,
1340,22600951,
1380,22605581,
1390,22602584,
140,22602111,
1400,22605224,
1410,22600986,
1420,22600990,
1430,22600991,
1440,22600995,
145,,5870048354
1460,22600996,
1470,22600997,
1480,22601001,
1490,22602601,
150,22600327,
1500,22601006,
1510,22601008,
1520,22602615,
1530,22603333
1540,22603336
1550,22601026
1555,22605529
1560,22605530
1570,22601016
1580,22605524
1590,22601019
160,22605511
1600,22601022
1610,22601035
1620,22605724
1630,22601042
1640,22602648
165,22600330
1650,22602648
1660,22602648,
1670,22602654,
1690,22601065,
170,,5870080142
1700,22605591,
1710,22602696,
1715,22602697,
1720,22603393,
1730,22601078,
1740,22601081,
1750,22601082,
1760,22605592,
1770,22605597,
1780,22601090,
1790,22601091,
180,22602141,
1800,,5870063207
1805,,5870050836
1806,,5870050822
1807,,5870050829
1810,22601114,
1815,22602740,
1840,22605589,
1850,22601127,
1860,22605590,
1870,,5870026040
1880,,5870080384
1885,22600219,
1890,,5870062203
190,22605544,
1900,22601134,
1910,22601138,
1911,22601139
1920,22601142
193,22602174
1930,22601144
1940,22605598
1945,22602754
195,22602174
1950,22602013
1960,22605701
1963,22602020
1970,22605696
1975,22605653
1980,22605653
1981,22605653
1983,22602785
1985,22601178
20,,5870099397
200,,5870088501
2001,,5870083158
2002,,5870113384
2003,,5870083259
2004,,5870109183
2005,,5870091105
2006,,5870062127
2007,,5870091355
2008,,5870100794
2009,,5870038108
2010,,5870063438
2012,,5870005471
2013,,5870005470
2014,,5870110057
2015,,5870024732
2016,,5870109425
2017,,5870046640
2018,,5870109162
2019,,5870109284
2020,,5870040574
2021,,5870059390
2022,,5870111779
2023,,5870111779
2024,,5870098662
2025,,5870093822
2026,,5870051309
2027,,5870066997
2028,,5870066997
2030,,5870113383
2031,,5870035572
2032,,5870110059
2033,,5870067089
2034,,5870097522
2035,,5870014752
2036,,5870020025
2037,,5870112007
2038,,5870112006
2039,,5870063439
2040,,5870063433
2041,,5870110061
2042,,5870060521
2043,,5870054826
2044,,5870054826
2045,,5870067138
2046,,5870039424
2047,,5870064670
2048,,5870062823
2049,,5870032136
2050,,5870067413
2052,,5870040740
2053,,5870109245
2054,22605673,
2057,,5870075123
2063,,5870094209
2065,,5870112629
2066,,5870012360
2067,,5870064780
2071,,5870014746
2073,,5870097498
2074,,5870054793
2076,,5870056522
2077,,5870041309
2078,22602475,
2079,,5870077877
2080,,5870114524
2081,,5870116236
2083,22600393,
2084,22602070,
2088,,5870034574
2089,,5870110932
2096,,5870113512
2098,,5870113858
2099,,5870116237
2103,,5870093868
220,22602196,
240,,5870042562
250,22602206,
2500,,5870097143
2505,22602483,
2510,,5870048347
2530,22600593,
2560,,5870039423
